starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:25 2022	1668242725	3	17	20	17
Sat Nov 12 09:45:25 2022	1668242725	3	17	20	17
Sat Nov 12 09:45:25 2022	1668242725	3	17	20	17
Sat Nov 12 09:45:25 2022	1668242725	3	18	21	18
Sat Nov 12 09:45:25 2022	1668242725	3	18	21	18
Sat Nov 12 09:45:25 2022	1668242725	3	18	21	18
Sat Nov 12 09:45:25 2022	1668242725	3	19	22	19
Sat Nov 12 09:45:25 2022	1668242725	3	19	22	19
Sat Nov 12 09:45:25 2022	1668242725	3	19	22	19
Sat Nov 12 09:45:25 2022	1668242725	3	20	23	20
Sat Nov 12 09:45:25 2022	1668242725	3	20	23	20
Sat Nov 12 09:45:25 2022	1668242725	3	20	23	20
Sat Nov 12 09:45:25 2022	1668242725	3	21	23	21
Sat Nov 12 09:45:25 2022	1668242725	3	21	24	21
Sat Nov 12 09:45:25 2022	1668242725	3	21	24	21
Sat Nov 12 09:45:25 2022	1668242725	3	22	24	22
Sat Nov 12 09:45:25 2022	1668242725	3	22	25	22
Sat Nov 12 09:45:25 2022	1668242725	3	22	25	22
Sat Nov 12 09:45:25 2022	1668242725	2	23	25	23
Sat Nov 12 09:45:25 2022	1668242725	2	23	26	23
Sat Nov 12 09:45:25 2022	1668242725	2	24	26	24
Sat Nov 12 09:45:25 2022	1668242725	2	24	26	24
Sat Nov 12 09:45:25 2022	1668242725	2	24	27	24
Sat Nov 12 09:45:25 2022	1668242725	2	25	27	25
Sat Nov 12 09:45:25 2022	1668242725	2	25	27	25
Sat Nov 12 09:45:25 2022	1668242725	2	25	28	25
Sat Nov 12 09:45:25 2022	1668242725	2	26	28	26
Sat Nov 12 09:45:25 2022	1668242725	2	26	28	26
Sat Nov 12 09:45:25 2022	1668242725	2	26	29	26
Sat Nov 12 09:45:25 2022	1668242725	2	27	29	27
Sat Nov 12 09:45:25 2022	1668242725	2	27	29	27
Sat Nov 12 09:45:25 2022	1668242725	2	27	30	27
Sat Nov 12 09:45:25 2022	1668242725	2	28	30	28
Sat Nov 12 09:45:25 2022	1668242725	2	28	30	28
Sat Nov 12 09:45:25 2022	1668242725	2	28	31	28
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	2	29	31	29
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
