starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	4	28	32	28
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:24 2022	1668242724	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	4	28	32	28
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
